base_probe,base_probe_sum_corr,removed_probe,removed_probe_sum_corr,correlation
cg21448741,898.29565,cg08755283,856.3074,-0.79925585
cg09142671,856.2631,cg02891208,835.3029,0.9023848
cg09142671,856.2631,cg24879800,692.3092,0.7045102
cg10204478,831.8015,cg12042864,815.18677,0.8236469
cg10204478,831.8015,cg16511870,709.9001,-0.7045309
cg10204478,831.8015,cg21843128,698.00507,-0.7132226
cg10204478,831.8015,cg00209831,543.29694,0.7097497
cg25358294,798.8354,cg06573629,785.285,0.8654775
cg25358294,798.8354,cg01591025,649.3022,0.7041946
cg25358294,798.8354,cg24921262,729.2377,0.704776
cg25358294,798.8354,cg11185743,615.1676,0.72100437
cg25358294,798.8354,cg18270527,748.4858,0.71106833
cg25358294,798.8354,cg10545250,517.5051,0.7408648
cg26235761,777.45685,cg11766698,775.0703,0.7141897
cg10483525,760.25684,cg11706624,680.7797,0.70971674
cg10483525,760.25684,cg00119811,678.80597,0.7535054
cg10483525,760.25684,cg18539787,707.51825,0.7336576
cg21898346,707.3623,cg13218532,685.34406,0.7019515
cg24952358,707.35754,cg17979445,538.8458,0.7088713
cg01626322,698.1586,cg08123158,644.3868,0.7198193
cg08324610,687.89685,cg07485305,661.1193,0.7057966
cg08324610,687.89685,cg03959796,587.22955,0.7006912
cg16559243,668.1718,cg07220448,656.2744,0.7128834
cg17824471,661.05914,cg13329172,621.36334,0.7196344
cg19889982,613.0333,cg10908944,551.079,0.70031613
cg18633141,587.5303,cg25235205,529.0571,0.7039945
cg18633141,587.5303,cg20663709,512.07587,0.7595445
cg18633141,587.5303,cg21533262,568.1488,-0.7043698
cg18633141,587.5303,cg10268249,484.84604,0.7251254
