base_probe,base_probe_sum_corr,removed_probe,removed_probe_sum_corr,correlation
cg26349299,167.23402,cg11006615,160.29185,0.8791297
cg26349299,167.23402,cg23552977,147.75655,0.7236146
cg26349299,167.23402,cg26384993,142.78993,0.7638369
cg26349299,167.23402,cg18820256,154.34038,0.8246244
cg26349299,167.23402,cg10097313,152.941,0.8151444
cg26349299,167.23402,cg04362886,139.99945,0.7411147
cg26349299,167.23402,cg00413196,142.32916,0.79496664
cg26349299,167.23402,cg08192831,153.91853,0.92194104
cg26349299,167.23402,cg17656233,149.76027,0.87666744
cg26349299,167.23402,cg12350922,151.48724,0.9083277
cg26349299,167.23402,cg14841828,125.81812,-0.7018843
cg26349299,167.23402,cg02155796,141.59525,-0.8599773
cg26349299,167.23402,cg25941520,129.84517,0.7346224
cg26349299,167.23402,cg00497078,133.8156,0.7950099
cg26349299,167.23402,cg22400166,144.92113,-0.84918475
cg26349299,167.23402,cg03323924,130.07481,0.82811356
cg26349299,167.23402,cg13130319,117.06063,0.7466782
cg26349299,167.23402,cg23837350,125.032646,0.7705736
cg26349299,167.23402,cg19743789,135.87262,0.89475155
cg26349299,167.23402,cg11793860,120.24789,0.8275665
cg26349299,167.23402,cg18810310,133.28073,0.8789257
cg26349299,167.23402,cg24731961,126.57332,0.898319
cg26349299,167.23402,cg18823637,122.53503,0.83963835
cg26349299,167.23402,cg17921080,120.38642,0.8623366
cg26349299,167.23402,cg03101465,120.60637,0.7732085
cg26349299,167.23402,cg06348811,109.922165,0.7930899
cg06455624,154.50067,cg24764848,113.23767,0.7038169
cg06455624,154.50067,cg18185554,111.91561,0.7769769
cg06455624,154.50067,cg08064672,103.88309,0.74618924
cg06455624,154.50067,cg02943420,114.108734,0.8395681
cg06455624,154.50067,cg08277444,97.2979,0.7552157
cg06455624,154.50067,cg17920820,104.57168,0.7240025
cg09918077,135.98701,cg07784090,100.84549,0.75537115
