base_probe,base_probe_sum_corr,removed_probe,removed_probe_sum_corr,correlation
cg20375654,157.8636,cg26028005,152.76593,0.91490954
cg20375654,157.8636,cg19422661,138.13516,-0.7685034
cg20375654,157.8636,cg01445952,138.75308,0.7982717
cg20375654,157.8636,cg06551685,132.6237,0.8182796
cg20375654,157.8636,cg26429069,127.83238,0.78592926
cg20375654,157.8636,cg03544495,132.32402,0.79978687
cg20375654,157.8636,cg13434411,122.42146,-0.78471756
cg20375654,157.8636,cg04339455,134.00423,0.8746244
cg20375654,157.8636,cg03105136,112.24853,0.70831704
cg20375654,157.8636,cg21229482,118.85574,0.7230861
cg20375654,157.8636,cg14550760,130.63524,0.86271685
cg20375654,157.8636,cg10739691,134.94894,0.89421606
cg20375654,157.8636,cg03936758,123.82656,0.7254613
cg20375654,157.8636,cg13409170,117.320625,-0.78802395
cg20375654,157.8636,cg17163538,118.760574,0.8078265
cg20375654,157.8636,cg05528187,115.24582,0.71284515
cg20375654,157.8636,cg02127365,117.513374,-0.71162283
cg20375654,157.8636,cg06289673,119.660645,0.837735
cg20375654,157.8636,cg08590134,109.81531,0.7622985
cg20375654,157.8636,cg13491907,126.92005,0.89867777
cg20375654,157.8636,cg17071957,111.87488,0.8333506
cg20375654,157.8636,cg04800984,110.9949,0.8261112
cg20375654,157.8636,cg16436933,113.64825,0.89167327
cg20375654,157.8636,cg07465591,103.54204,0.78588897
cg20375654,157.8636,cg03220414,116.334854,0.87792647
cg20375654,157.8636,cg02181552,118.22609,0.9256355
cg20375654,157.8636,cg14313833,93.015816,-0.71171916
cg20375654,157.8636,cg12080113,115.09609,0.90835685
cg20375654,157.8636,cg00174514,110.17196,0.90851635
cg20375654,157.8636,cg20650753,102.49754,0.89073753
cg25356419,127.64081,cg13868356,90.99402,0.7150202
cg06807806,96.81162,cg14168316,84.74961,0.7097348
