base_probe,base_probe_sum_corr,removed_probe,removed_probe_sum_corr,correlation
cg12763038,581.6032,cg13024117,539.4202,0.83422184
cg19938167,576.92065,cg15364874,501.80722,0.88600445
cg19938167,576.92065,cg08116738,424.42374,-0.7029146
cg13500499,549.6388,cg16348535,486.09277,0.8304483
cg05775451,544.9775,cg16971637,393.72778,0.704794
cg05775451,544.9775,cg23667267,457.97244,0.7821418
cg23601736,538.6088,cg25500077,410.22064,0.74208504
cg23601736,538.6088,cg15019661,457.16348,0.70668155
cg16967640,532.48,cg07975663,449.5425,0.7006265
cg00838561,519.2542,cg14807446,412.47305,0.71112806
cg00838561,519.2542,cg24335070,407.20505,0.7422689
cg00838561,519.2542,cg14819160,393.66614,0.71500117
cg11758127,507.29352,cg02170918,375.33102,0.7007257
cg26559162,471.28757,cg11082779,456.72006,0.72379035
cg26559162,471.28757,cg21131343,430.23523,0.7385248
cg10100287,444.24005,cg02807227,425.3009,0.71757686
cg16555909,416.6486,cg23396189,328.9343,0.7530222
cg18693293,416.61392,cg07374224,350.89893,0.70954365
cg08461339,409.599,cg16050326,391.15897,0.7052072
cg02640331,334.1664,cg26058971,321.00427,0.7150722
