base_probe,base_probe_sum_corr,removed_probe,removed_probe_sum_corr,correlation
cg17575113,293.84348,cg05986831,267.48108,0.8198074
cg17575113,293.84348,cg16249894,245.52562,-0.71808225
cg14912119,281.15167,cg26182253,265.12857,0.7769446
cg14912119,281.15167,cg18787514,237.10394,0.7102679
cg09789239,271.8284,cg25388715,228.78358,-0.70223165
cg09789239,271.8284,cg08962038,263.89932,0.7075802
cg09789239,271.8284,cg25832175,265.47232,0.83427685
cg09535473,241.00119,cg11703212,199.89354,0.7078214
cg26430041,228.26273,cg03010009,207.51515,-0.70886755
cg15209376,213.51753,cg27454102,205.33882,0.70038676
cg19297251,193.97762,cg21266798,185.0167,0.71000314
