base_probe,base_probe_sum_corr,removed_probe,removed_probe_sum_corr,correlation
cg02891208,278.45453,cg00534655,262.58545,-0.7896917
cg02891208,278.45453,cg13808438,230.97928,0.75208724
cg02891208,278.45453,cg11961656,234.91042,-0.70463276
cg02891208,278.45453,cg08505619,264.02283,0.9066362
cg02891208,278.45453,cg05567191,226.62965,0.7792793
cg02891208,278.45453,cg20950146,228.31686,0.77168745
cg02891208,278.45453,cg09014626,244.80113,0.78011614
cg02891208,278.45453,cg06196373,242.24586,0.861522
cg02891208,278.45453,cg04780741,242.54362,0.83003104
cg02891208,278.45453,cg18440230,234.68974,-0.75043094
cg02891208,278.45453,cg05239911,215.75749,0.7807833
cg02891208,278.45453,cg09689469,232.62843,0.8419765
cg02891208,278.45453,cg16577724,231.83864,-0.7544326
cg02891208,278.45453,cg27077895,225.62613,0.8263248
cg02891208,278.45453,cg13335354,205.324,0.7572364
cg02891208,278.45453,cg07474586,201.60051,0.73263216
cg02891208,278.45453,cg24852196,223.41618,0.81422985
cg02891208,278.45453,cg05364414,246.34485,0.88987684
cg02891208,278.45453,cg24243568,210.07062,0.7793859
cg02891208,278.45453,cg22992794,234.75119,0.85054374
cg02891208,278.45453,cg13806103,230.21834,0.84905416
cg02891208,278.45453,cg18980440,241.31343,0.8862516
cg02891208,278.45453,cg16211189,231.19559,0.87889266
cg02891208,278.45453,cg09316225,229.10101,0.8331033
cg02891208,278.45453,cg05805815,197.25456,0.7665139
cg02891208,278.45453,cg13266286,229.25882,0.89667374
cg02891208,278.45453,cg02084046,215.2389,-0.7112606
cg02891208,278.45453,cg15557951,210.63432,0.85422665
cg02891208,278.45453,cg00665650,222.24678,-0.7367643
cg02891208,278.45453,cg00728573,185.88866,0.7428519
cg02891208,278.45453,cg20715028,198.02559,0.7058564
cg02891208,278.45453,cg14649252,202.3785,-0.7496296
cg02891208,278.45453,cg22726219,215.05899,0.85381866
cg02891208,278.45453,cg07687673,223.01999,0.94468606
cg02891208,278.45453,cg23627629,190.35764,0.76832944
cg02891208,278.45453,cg25386954,206.10423,0.87415516
cg02891208,278.45453,cg03766523,206.25786,0.851535
cg25358294,260.62854,cg11788665,189.29634,0.7581965
cg25358294,260.62854,cg07230058,198.11964,0.78585327
cg25358294,260.62854,cg22790468,181.459,0.7261165
cg25358294,260.62854,cg07433178,202.93721,0.7637862
cg25358294,260.62854,cg03732254,208.30032,0.79773283
cg25358294,260.62854,cg22030962,196.34523,0.8465269
cg25358294,260.62854,cg09084473,184.9776,0.74214697
cg25358294,260.62854,cg01697092,204.02612,0.78227
cg25358294,260.62854,cg12766556,168.67586,0.70768267
cg25358294,260.62854,cg13023677,187.57133,0.72476697
cg25358294,260.62854,cg04597765,176.56195,0.7274266
cg25358294,260.62854,cg05770026,187.57999,0.76256317
cg25358294,260.62854,cg17499941,181.81088,0.7136164
cg25358294,260.62854,cg27626110,170.94853,0.7454866
cg25358294,260.62854,cg24820154,191.86769,0.8129581
cg25358294,260.62854,cg05321442,170.37732,0.7088143
cg25358294,260.62854,cg11960719,189.38438,0.84932464
cg25358294,260.62854,cg03893692,182.22365,0.8429685
cg26002149,221.32378,cg04903870,170.42007,0.72216994
cg26002149,221.32378,cg10782958,163.69218,0.7140089
cg08755283,198.93346,cg25109393,173.88232,0.75138223
cg08755283,198.93346,cg24717875,165.64354,0.7489632
cg10204478,195.14815,cg25394652,158.97557,-0.7995445
cg10204478,195.14815,cg23440413,154.40468,-0.7234798
cg18633141,158.33488,cg14098951,119.90288,-0.76612484
cg18633141,158.33488,cg13411383,105.75656,0.7154506
cg18633141,158.33488,cg07872794,123.46223,0.7587927
cg18633141,158.33488,cg10726666,118.2663,0.7553624
