base_probe,base_probe_sum_corr,removed_probe,removed_probe_sum_corr,correlation
cg02396728,247.07779,cg09812467,223.01302,0.7701
cg02396728,247.07779,cg13033387,214.14174,0.8129185
cg02396728,247.07779,cg03546456,215.92686,0.85692906
cg02396728,247.07779,cg11246649,190.44284,0.7236899
cg02396728,247.07779,cg25586703,229.88011,0.8476402
cg02396728,247.07779,cg10951783,212.29305,0.7613512
cg02396728,247.07779,cg00310386,180.00464,0.7003578
cg02396728,247.07779,cg02884149,224.8288,0.8561077
cg02396728,247.07779,cg06097580,191.48232,0.7735472
cg02396728,247.07779,cg08409642,190.17398,-0.7464439
cg02396728,247.07779,cg06631222,196.6621,0.7058383
cg02396728,247.07779,cg03879594,222.94643,0.89018476
cg02396728,247.07779,cg25416829,198.43077,0.7230498
cg02396728,247.07779,cg04879645,218.49352,0.8907266
cg02396728,247.07779,cg22682743,195.60667,0.72805935
cg02396728,247.07779,cg08348441,213.75835,0.8393759
cg02396728,247.07779,cg24155383,216.21617,0.891371
cg02396728,247.07779,cg05782202,217.36662,0.90298146
cg02396728,247.07779,cg14619168,214.45741,0.91003096
cg02396728,247.07779,cg07685557,187.62987,0.77452236
cg02396728,247.07779,cg11926656,186.51233,0.748653
cg02396728,247.07779,cg08699631,200.2431,0.8509991
cg02396728,247.07779,cg21727445,175.53217,0.7749052
cg02396728,247.07779,cg10386396,164.47644,0.7301059
cg02396728,247.07779,cg08310756,162.2789,0.7152516
cg02396728,247.07779,cg14415981,201.99637,0.89648473
cg02396728,247.07779,cg24828009,194.21025,0.9218898
cg02396728,247.07779,cg04679284,183.01035,0.7810592
cg02396728,247.07779,cg00855299,198.22046,0.8459209
cg02396728,247.07779,cg18046441,154.14531,0.7033991
cg02396728,247.07779,cg05920891,189.8989,0.8828406
cg02396728,247.07779,cg06543221,187.76755,0.8718258
cg02396728,247.07779,cg11326110,181.66599,0.82932687
cg02396728,247.07779,cg02278319,184.1608,0.8864675
cg02396728,247.07779,cg25721717,187.37558,0.93628496
cg02396728,247.07779,cg07021748,160.22508,0.7978215
cg02396728,247.07779,cg09626265,178.77026,0.7960928
cg02396728,247.07779,cg07994696,171.54082,0.83237374
cg02396728,247.07779,cg00487831,173.87154,0.8031064
cg02396728,247.07779,cg10343787,151.92459,0.7220303
cg27403117,207.51683,cg05671758,135.64653,0.7232808
cg27403117,207.51683,cg07297980,156.03412,0.707595
cg27403117,207.51683,cg06713550,142.17665,0.7360945
cg27403117,207.51683,cg18738273,161.56956,0.739582
cg27403117,207.51683,cg11081316,149.11678,0.7784384
cg27403117,207.51683,cg09835421,151.09822,0.7710015
cg27403117,207.51683,cg00370608,130.70409,0.7211337
cg27403117,207.51683,cg02883503,141.50775,0.7702059
cg27403117,207.51683,cg09108394,148.09138,0.77230835
cg10483525,201.74596,cg27406919,123.73711,0.7310727
cg10483525,201.74596,cg11867368,133.74385,-0.7008956
cg10483525,201.74596,cg01781725,131.91908,0.73157954
cg09588492,192.2595,cg05116343,162.46497,-0.73186684
cg03940662,188.8874,cg26684601,119.51958,0.74215335
cg03940662,188.8874,cg12950066,125.588455,0.7352313
cg07351059,131.74011,cg10955846,88.57671,0.7237337
cg07351059,131.74011,cg07458482,94.042694,0.79995316
cg22590804,83.35962,cg06249198,43.161743,0.79446894
