base_probe,base_probe_sum_corr,removed_probe,removed_probe_sum_corr,correlation
cg14224170,221.19066,cg21152077,202.18756,0.74260753
cg14224170,221.19066,cg17945097,218.022,0.71414304
cg14224170,221.19066,cg06914225,175.09093,0.721334
cg05404847,205.38206,cg18033335,171.93187,0.7911088
cg05404847,205.38206,cg23928165,174.63576,-0.72865933
cg05404847,205.38206,cg06064945,176.42891,0.8583933
cg05404847,205.38206,cg18072756,188.3268,0.88676393
cg05404847,205.38206,cg11902728,188.4407,0.87061983
cg05404847,205.38206,cg08260034,152.6342,0.72937673
cg05404847,205.38206,cg11883495,182.25653,0.92465484
cg05404847,205.38206,cg05595396,149.75996,0.7137338
cg05404847,205.38206,cg09316169,179.24216,0.90671396
cg05404847,205.38206,cg01227084,160.40866,0.7737162
cg05404847,205.38206,cg20777329,167.83067,0.76859087
cg05404847,205.38206,cg01286319,142.47609,0.71448964
cg05404847,205.38206,cg24452783,169.06522,0.7703702
cg05404847,205.38206,cg06274820,175.81842,0.79941386
cg05404847,205.38206,cg12853145,161.9214,0.8104121
cg05404847,205.38206,cg01603919,178.17125,0.8585992
cg05404847,205.38206,cg11237948,142.63344,0.77381563
cg05404847,205.38206,cg16636114,165.82742,0.9047408
cg08643005,198.66325,cg17409891,171.8085,0.75084823
cg17753124,178.75986,cg19145995,145.62982,0.8224543
cg17753124,178.75986,cg14210191,144.83815,0.707909
cg17753124,178.75986,cg17656426,153.38242,0.7111292
cg17753124,178.75986,cg20038346,150.78413,0.8460306
cg17753124,178.75986,cg02436098,128.31923,0.70736444
cg17753124,178.75986,cg25715134,125.56296,0.75486153
cg17753124,178.75986,cg08266851,147.1706,0.81384856
cg17753124,178.75986,cg01293740,144.52853,0.801244
cg17753124,178.75986,cg19522688,132.64215,0.7048053
cg17753124,178.75986,cg03100024,129.7108,0.7125611
cg17753124,178.75986,cg00384879,153.19443,0.7288792
cg17705128,142.90826,cg23530448,124.21528,0.70928
