base_probe,base_probe_sum_corr,removed_probe,removed_probe_sum_corr,correlation
cg25953503,444.7547,cg23021267,424.55402,0.70752513
cg25953503,444.7547,cg19345149,405.45926,-0.7909481
cg00290101,436.55832,cg15331260,384.0211,0.7424531
cg00290101,436.55832,cg16843694,377.94543,0.72705305
cg00290101,436.55832,cg00965971,416.76624,0.7109208
cg00290101,436.55832,cg21166985,429.50494,0.93078375
cg00290101,436.55832,cg20424335,343.8734,0.71961147
cg00290101,436.55832,cg01107920,333.9998,0.7360706
cg18566095,424.7992,cg24889207,385.84372,0.7712029
cg24588941,384.8193,cg20622960,374.51306,0.7033436
cg03015304,384.4869,cg20376843,351.9595,0.7190108
cg16734744,368.92413,cg06466013,342.63336,0.7007854
cg18914967,355.9869,cg02094273,310.82834,0.75155324
cg05354926,325.2184,cg23939844,271.811,0.7540443
cg05354926,325.2184,cg05760918,309.92117,0.7514296
