base_probe,base_probe_sum_corr,removed_probe,removed_probe_sum_corr,correlation
cg15610170,293.61218,cg03018652,253.66286,0.8430175
cg15610170,293.61218,cg11095658,237.61156,0.70137566
cg15610170,293.61218,cg09767885,278.87173,0.89135796
cg15610170,293.61218,cg15748667,267.92487,0.83117944
cg15610170,293.61218,cg24105729,258.5855,0.7575649
cg15610170,293.61218,cg10102474,274.5975,0.88741535
cg15610170,293.61218,cg04240809,280.68216,0.8112733
cg15610170,293.61218,cg06590514,272.63232,0.7487193
cg15610170,293.61218,cg25679475,271.26297,0.88154685
cg15610170,293.61218,cg14976734,264.47156,0.876886
cg15610170,293.61218,cg05665069,237.28305,0.7068257
cg15610170,293.61218,cg02940003,257.7197,0.8427183
cg15610170,293.61218,cg15048832,271.98798,-0.84441006
cg15610170,293.61218,cg21873674,257.98215,-0.7147791
cg15610170,293.61218,cg11883790,227.82205,0.7284846
cg15610170,293.61218,cg07247239,262.63422,0.8981654
cg15610170,293.61218,cg24577711,257.962,0.70209634
cg15610170,293.61218,cg17201947,223.99458,0.73248357
cg15610170,293.61218,cg02124892,234.10173,0.7767775
cg15610170,293.61218,cg11709268,252.56013,0.8672633
cg15610170,293.61218,cg05527292,220.34825,0.79830825
cg15610170,293.61218,cg05516821,252.37042,0.8807637
cg15610170,293.61218,cg08722865,230.12128,-0.70663935
cg15610170,293.61218,cg11034878,237.42561,0.75355506
cg15610170,293.61218,cg20242395,252.45308,0.91313946
cg15610170,293.61218,cg25484139,222.68132,0.7732659
cg15610170,293.61218,cg07022681,193.23996,0.7235667
cg15610170,293.61218,cg17943672,242.73956,-0.7631732
cg15610170,293.61218,cg22255037,199.62814,0.7333909
cg15610170,293.61218,cg25814714,249.28311,0.7392482
cg15610170,293.61218,cg19538677,229.80965,-0.7203368
cg15610170,293.61218,cg20692845,240.83849,0.89048654
cg15610170,293.61218,cg03540589,229.36896,-0.778542
cg15610170,293.61218,cg07453715,232.77777,0.88240635
cg15610170,293.61218,cg16848306,222.09605,0.79354954
cg15610170,293.61218,cg25336900,232.73015,-0.81400305
cg15610170,293.61218,cg10722267,214.23323,0.76069975
cg15610170,293.61218,cg21123580,230.16185,0.85690755
cg15610170,293.61218,cg27056295,203.90501,0.75256366
cg15610170,293.61218,cg14664089,219.52368,0.90386754
cg15610170,293.61218,cg05211664,212.2327,0.83567363
cg18388475,268.65976,cg19647511,203.47997,0.71012604
cg00904548,261.4634,cg02828441,212.8982,0.712681
cg00904548,261.4634,cg15956635,183.40337,0.71478385
cg00904548,261.4634,cg02604225,188.72284,0.823908
cg00904548,261.4634,cg21434492,212.98973,0.77147156
cg00904548,261.4634,cg06207035,213.68999,0.7904709
cg00904548,261.4634,cg09141397,208.08812,0.8225008
cg00904548,261.4634,cg13139998,196.87332,0.84326583
cg00904548,261.4634,cg14063109,206.37436,0.7452721
cg00904548,261.4634,cg08389324,190.30417,0.7159789
cg00904548,261.4634,cg10924802,186.74649,0.7788698
cg19219068,251.44688,cg09150212,221.22801,0.73701173
cg02133287,249.78024,cg02445909,164.48082,0.73150104
cg02133287,249.78024,cg16323609,183.88832,0.7781738
cg02133287,249.78024,cg20216309,181.02103,0.7593728
cg03477080,241.98497,cg02945385,162.19646,-0.75466263
cg02864754,218.07866,cg15159044,196.85191,0.7012319
cg02864754,218.07866,cg02032593,190.78804,0.7144813
cg02864754,218.07866,cg03468967,196.37375,0.70314384
cg13564880,211.58511,cg10614217,146.74742,0.7428441
cg13564880,211.58511,cg13999304,162.46886,0.7185669
cg13564880,211.58511,cg23957311,149.94121,0.7161903
cg13564880,211.58511,cg12426525,168.49188,0.7346371
cg15243630,205.74283,cg04475307,181.63812,-0.70651895
cg15243630,205.74283,cg27573735,174.75194,-0.7126628
cg15243630,205.74283,cg14918243,185.55612,-0.7178603
cg25262361,114.25534,cg09342567,67.37004,0.7610539
