base_probe,base_probe_sum_corr,removed_probe,removed_probe_sum_corr,correlation
cg09142671,530.23004,cg05055322,522.43134,0.89767057
cg12042864,524.1222,cg22122414,430.2715,-0.824242
cg12042864,524.1222,cg00618738,419.565,0.7552133
cg06573629,482.67908,cg08012294,353.2797,0.70831466
cg06573629,482.67908,cg23155934,435.64963,0.8342534
cg06573629,482.67908,cg09225503,356.03775,0.7566402
cg06573629,482.67908,cg05337681,343.5829,0.7229618
cg06573629,482.67908,cg20630633,334.47256,0.74347734
cg10483525,466.45093,cg09383624,403.09723,0.7258728
cg10483525,466.45093,cg17156432,353.3703,0.7138914
cg24952358,437.30316,cg24243169,373.49054,0.7144787
cg01626322,431.51923,cg03326128,396.64612,0.72809476
cg21533262,352.86588,cg03206427,275.30566,-0.7207165
cg21533262,352.86588,cg23790554,297.03772,0.7126145
