base_probe,base_probe_sum_corr,removed_probe,removed_probe_sum_corr,correlation
cg19219068,538.2677,cg14224170,463.24167,0.72557825
cg16510440,511.78394,cg05404847,414.3735,0.95896095
cg02864754,493.59207,cg13936947,383.2066,0.70267123
cg01661001,492.8921,cg27196999,459.63504,0.71204823
cg01661001,492.8921,cg09683533,479.2239,0.8516945
cg01661001,492.8921,cg11522145,472.86633,0.71891373
cg01661001,492.8921,cg12854167,418.5486,0.7194767
cg01661001,492.8921,cg13702833,433.62262,0.7021204
cg01661001,492.8921,cg07462954,327.19073,0.71082705
cg01661001,492.8921,cg01546192,369.2836,0.72583205
cg01661001,492.8921,cg02776664,313.57715,-0.7105163
cg18226923,491.01602,cg13559217,409.16174,0.7047588
cg18388475,485.1165,cg20420651,415.69193,0.7006973
cg18388475,485.1165,cg06742678,466.50607,0.7846545
cg15243630,481.78546,cg26748028,379.8997,0.7129567
cg16660591,480.575,cg25616607,350.67422,0.7120682
cg11585912,461.4263,cg27364650,414.19073,0.742883
cg18292434,436.39636,cg00010445,317.97748,0.70363337
cg26851745,429.2847,cg14091589,336.0305,0.7234666
cg24954670,420.93777,cg17787159,358.78757,0.70931184
cg08643005,419.78827,cg25649000,414.9589,0.7201316
cg13564880,377.6843,cg01481910,269.87082,0.71277297
cg13564880,377.6843,cg11159919,301.03397,0.7301408
cg07056507,318.00293,cg08154437,208.73691,0.73434496
