base_probe,base_probe_sum_corr,removed_probe,removed_probe_sum_corr,correlation
cg23155934,328.02155,cg00890658,270.56827,0.7224136
cg23155934,328.02155,cg01531398,287.81927,0.797623
cg09142671,326.6317,cg19904498,284.88467,0.7461866
cg09142671,326.6317,cg25001764,273.24252,0.74537677
cg09142671,326.6317,cg26896818,314.29285,0.8493912
cg09142671,326.6317,cg08023827,245.19975,0.7033032
cg09142671,326.6317,cg01954585,268.53473,0.7266434
cg21448741,313.70993,cg15935173,296.75946,0.7963183
cg09383624,306.68008,cg09353563,267.48773,0.7405239
cg09383624,306.68008,cg23056060,255.89386,0.7588204
cg22122414,294.5199,cg10948164,273.57178,-0.70487434
cg22122414,294.5199,cg13379851,246.73517,0.74628794
cg03326128,286.93762,cg16019875,264.73248,0.7134021
cg09225503,265.40765,cg26296479,242.37764,0.772994
cg09225503,265.40765,cg12940435,231.28586,0.7335305
cg09225503,265.40765,cg18847961,216.81308,0.7137225
