base_probe,base_probe_sum_corr,removed_probe,removed_probe_sum_corr,correlation
cg18393044,429.3491,cg16623111,357.7887,0.7116937
cg18393044,429.3491,cg10459950,356.1958,-0.7255341
cg16179589,417.56943,cg25386579,414.18756,0.8526263
cg16179589,417.56943,cg07379013,362.86194,0.7456463
cg16179589,417.56943,cg00695936,370.79694,0.7011874
cg16179589,417.56943,cg16033936,351.78134,0.70015776
cg16179589,417.56943,cg09120725,349.20724,0.7713385
cg16179589,417.56943,cg17021066,348.92163,0.712159
cg16179589,417.56943,cg20615910,409.35284,-0.82402
cg24928546,399.12665,cg05816193,320.18225,0.72239584
cg24928546,399.12665,cg07460417,384.05344,0.76213145
cg24928546,399.12665,cg03411334,367.60956,0.7015899
cg20863284,370.9843,cg21007972,333.6402,0.719232
cg18574725,368.26346,cg16607181,333.14218,-0.713378
cg08015382,350.65665,cg13353002,320.0027,0.70641696
cg12348588,331.40524,cg27158519,279.52283,0.727309
cg25705162,268.29764,cg19518116,174.1345,0.82664657
