base_probe,base_probe_sum_corr,removed_probe,removed_probe_sum_corr,correlation
cg00290101,335.68393,cg06534081,293.67273,0.82439
cg00290101,335.68393,cg10748359,285.94174,0.77765507
cg00290101,335.68393,cg04039799,317.35822,-0.7779435
cg00290101,335.68393,cg26657643,313.2951,0.89670384
cg00290101,335.68393,cg05932538,312.3825,0.8849562
cg00290101,335.68393,cg05730269,305.4827,0.83676004
cg00290101,335.68393,cg24706275,277.37845,0.7877576
cg00290101,335.68393,cg02014334,262.50674,0.7134932
cg00290101,335.68393,cg22652719,253.6807,0.73309106
cg00290101,335.68393,cg12069276,283.07684,0.8144426
cg00290101,335.68393,cg11538327,298.97714,0.9064994
cg00290101,335.68393,cg26744129,285.9872,-0.7972933
cg00290101,335.68393,cg03569015,281.23132,0.8495133
cg00290101,335.68393,cg06149981,267.67105,0.7981227
cg00290101,335.68393,cg04337594,248.99348,0.7302963
cg00290101,335.68393,cg26619099,239.5423,0.71214396
cg00290101,335.68393,cg02397217,264.43787,0.7296967
cg00290101,335.68393,cg04613440,272.14874,0.75240386
cg00290101,335.68393,cg27196715,275.5988,0.8519674
cg00290101,335.68393,cg08005462,245.60817,0.7101493
cg00290101,335.68393,cg12733154,276.4374,0.7052297
cg00290101,335.68393,cg23677291,272.44666,0.8089761
cg00290101,335.68393,cg23480354,272.419,0.78317565
cg00290101,335.68393,cg08770647,280.1732,0.9041407
cg00290101,335.68393,cg02830207,268.62622,0.8480402
cg00290101,335.68393,cg02026997,293.07928,0.93322146
cg00290101,335.68393,cg08496523,288.87903,0.90753245
cg00290101,335.68393,cg15810884,283.78073,0.8825982
cg00290101,335.68393,cg14419560,234.17902,0.72438216
cg00290101,335.68393,cg26121125,271.93094,0.90534955
cg00290101,335.68393,cg01482367,219.28049,0.7195409
cg00290101,335.68393,cg18560551,253.92992,0.8190075
cg00290101,335.68393,cg13162518,243.74495,0.7208061
cg00290101,335.68393,cg04670372,241.04176,0.80426604
cg00290101,335.68393,cg23186952,271.70984,0.9216123
cg00290101,335.68393,cg18629698,244.49701,0.76593643
cg00290101,335.68393,cg20487452,241.40102,0.7773754
cg00290101,335.68393,cg23755074,262.93085,0.90478694
cg00290101,335.68393,cg01044097,220.42317,0.7456813
cg00290101,335.68393,cg01427458,247.82327,-0.82738006
cg00290101,335.68393,cg06345411,236.4078,0.7148727
cg00290101,335.68393,cg11060910,269.37927,0.9235993
cg00290101,335.68393,cg09662906,242.55217,0.829424
cg00290101,335.68393,cg13705457,206.48792,0.71889305
cg00290101,335.68393,cg17192934,258.3316,0.8514617
cg00290101,335.68393,cg15716249,255.97482,-0.8210011
cg00290101,335.68393,cg01452169,252.7073,0.8492007
cg00290101,335.68393,cg26091247,235.28326,0.81281084
cg00290101,335.68393,cg24258806,205.44473,-0.71666473
cg18566095,308.17194,cg05122696,247.11084,0.79259944
cg18566095,308.17194,cg00717487,225.68864,0.7759588
cg18566095,308.17194,cg03332109,229.52321,0.7502657
cg18566095,308.17194,cg20924631,240.78073,0.7630299
cg18566095,308.17194,cg13400953,227.15262,0.76122886
cg18566095,308.17194,cg10950661,223.1237,0.7325892
cg18566095,308.17194,cg05413906,223.74583,0.7331193
cg18566095,308.17194,cg12758867,220.2022,0.7254315
cg18566095,308.17194,cg07545084,205.05792,0.75882107
cg18566095,308.17194,cg16275316,216.78635,0.71580726
cg18566095,308.17194,cg22871707,237.83432,0.79463875
cg18566095,308.17194,cg24423806,224.09283,0.76711816
cg20622960,274.1539,cg16944941,187.66286,-0.71855175
cg20622960,274.1539,cg20698277,185.30424,0.75253206
cg20622960,274.1539,cg16983486,172.23857,0.7059608
cg02492280,271.506,cg12008643,202.1036,0.7516202
cg02492280,271.506,cg13792101,197.99297,0.7081101
cg02492280,271.506,cg06155697,205.30592,0.7304399
cg02492280,271.506,cg10640398,204.37004,0.708356
cg00898880,267.98602,cg13216928,192.86661,0.7530037
cg23021267,256.84476,cg03602823,197.85756,0.7318987
cg23021267,256.84476,cg22348345,222.05823,0.7315597
cg04492926,156.67511,cg01572207,85.86216,0.7667317
cg09150064,128.62895,cg04583232,85.17122,0.7455199
