base_probe,base_probe_sum_corr,removed_probe,removed_probe_sum_corr,correlation
cg20615910,294.6399,cg12833048,273.2179,-0.707702
cg20615910,294.6399,cg26465955,265.9458,0.7986233
cg20615910,294.6399,cg10830603,269.17764,-0.78227645
cg20615910,294.6399,cg03303289,276.4265,0.7029724
cg20615910,294.6399,cg07474957,251.58272,0.77694505
cg20615910,294.6399,cg18518671,282.1433,-0.79874015
cg20615910,294.6399,cg10583180,248.3097,0.7347152
cg20615910,294.6399,cg06683148,280.6171,-0.808411
cg20615910,294.6399,cg03502211,251.55626,0.82676
cg20615910,294.6399,cg16703069,252.75288,0.7108639
cg20615910,294.6399,cg04728363,266.51144,0.90615076
cg20615910,294.6399,cg00198141,266.22284,-0.77482814
cg20615910,294.6399,cg21974679,269.18674,-0.77567863
cg20615910,294.6399,cg26738024,220.1143,0.7181264
cg20615910,294.6399,cg26797722,248.91942,0.7452429
cg20615910,294.6399,cg24698889,254.98174,0.84534585
cg20615910,294.6399,cg09116399,223.22455,0.75365597
cg20615910,294.6399,cg20389063,247.2498,-0.7075857
cg20615910,294.6399,cg24524396,224.96196,0.7849282
cg20615910,294.6399,cg25579319,254.50943,-0.7442887
cg20615910,294.6399,cg16373294,247.98892,0.867571
cg20615910,294.6399,cg08880293,244.2023,0.7225674
cg20615910,294.6399,cg20564351,231.26344,0.7789023
cg20615910,294.6399,cg13893782,218.8252,0.7762715
cg20615910,294.6399,cg06003566,211.01848,0.72481596
cg20615910,294.6399,cg02897555,243.15533,0.781123
cg20615910,294.6399,cg08416875,238.10703,0.8679643
cg20615910,294.6399,cg12472351,250.48541,-0.8272624
cg20615910,294.6399,cg22336806,193.29855,0.722948
cg20615910,294.6399,cg01320433,230.83632,-0.72246796
cg25386579,281.57776,cg17355742,208.6003,0.71856016
cg25386579,281.57776,cg03589311,236.62123,0.78560895
cg25386579,281.57776,cg00136547,215.00085,0.75876194
cg25386579,281.57776,cg24461557,218.99754,0.70697916
cg25386579,281.57776,cg13750929,222.9274,0.7805089
cg25386579,281.57776,cg15746672,214.78214,0.76003397
cg25386579,281.57776,cg13937163,223.34937,0.7814335
cg25386579,281.57776,cg13129716,202.80624,0.7326554
cg25386579,281.57776,cg02962647,209.25336,0.7417722
cg25386579,281.57776,cg16251647,226.7191,0.8506059
cg25386579,281.57776,cg23954423,196.29506,0.72375
cg25386579,281.57776,cg05287257,225.13954,0.8354786
cg07460417,256.3528,cg14458292,214.77917,0.7134577
cg07460417,256.3528,cg17518978,196.11081,0.7676711
cg07460417,256.3528,cg08792416,199.15637,0.7187094
cg07460417,256.3528,cg04528352,195.16142,0.7566632
cg24879800,239.7816,cg04400433,178.5641,0.7355046
cg07485305,216.1509,cg04973669,178.194,0.7143617
cg07485305,216.1509,cg02969422,172.44331,0.73999035
cg05590570,210.44838,cg18336453,168.77563,0.72291374
cg27158519,194.01163,cg14147998,152.58311,-0.74503636
cg15196197,182.36992,cg10890302,125.37068,0.703721
cg23858074,93.74352,cg12755953,86.311485,-0.7168588
