base_probe,base_probe_sum_corr,removed_probe,removed_probe_sum_corr,correlation
cg16179589,271.34235,cg23043802,233.23914,0.73637766
cg16179589,271.34235,cg08772754,248.62961,0.79322225
cg16179589,271.34235,cg04486382,236.31358,0.790374
cg16179589,271.34235,cg02633924,248.8079,-0.7567466
cg16179589,271.34235,cg12109178,258.47168,0.89266443
cg16179589,271.34235,cg13780065,220.76208,0.70918256
cg16179589,271.34235,cg06468454,222.31517,0.7123927
cg16179589,271.34235,cg15095482,244.62187,0.8265838
cg16179589,271.34235,cg26873892,240.0557,0.8495162
cg16179589,271.34235,cg11663408,246.0568,0.9024294
cg16179589,271.34235,cg19298400,205.47156,0.7119591
cg16179589,271.34235,cg15401418,221.95425,-0.7370004
cg16179589,271.34235,cg26217813,238.87105,0.8127908
cg16179589,271.34235,cg13058966,216.71841,0.7372705
cg16179589,271.34235,cg20835989,204.6103,0.72457564
cg16179589,271.34235,cg24869815,238.96552,0.9046961
cg16179589,271.34235,cg23752152,237.3262,0.8868544
cg16179589,271.34235,cg24633335,205.87888,0.7102008
cg16179589,271.34235,cg04689178,224.56267,0.8571577
cg16179589,271.34235,cg05517526,217.11902,0.80041283
cg16179589,271.34235,cg00687201,208.13179,0.74974877
cg16179589,271.34235,cg21572669,211.63713,0.843732
cg16179589,271.34235,cg14603620,219.8427,-0.80737936
cg16179589,271.34235,cg22101190,198.0631,0.777717
cg16179589,271.34235,cg20678604,210.8081,0.82393515
cg16179589,271.34235,cg13468400,214.95996,0.8238686
cg16179589,271.34235,cg16885600,222.88394,0.78893906
cg16179589,271.34235,cg13192952,218.22807,0.8881913
cg16179589,271.34235,cg02022455,220.01338,0.8910844
cg24928546,254.15276,cg14075167,212.2563,0.7609702
cg24928546,254.15276,cg11763337,205.55028,0.7915767
cg24928546,254.15276,cg14010086,221.80762,0.7059806
cg24928546,254.15276,cg11656752,209.4538,0.80687404
cg24928546,254.15276,cg21396595,195.79388,0.71861565
cg24928546,254.15276,cg05694563,196.71239,0.7731826
cg24928546,254.15276,cg26985149,191.83942,0.80551606
cg24928546,254.15276,cg06458745,194.31813,0.80505025
cg24928546,254.15276,cg22095263,185.35037,0.7357071
cg24928546,254.15276,cg09203328,194.12277,0.7454013
cg24928546,254.15276,cg02190078,203.49039,0.83253133
cg24928546,254.15276,cg15625480,192.58372,0.8151073
cg24928546,254.15276,cg13876325,193.43251,0.7796459
cg24928546,254.15276,cg05716556,181.43835,0.70367223
cg24928546,254.15276,cg27466104,189.84242,0.71732736
cg24928546,254.15276,cg14943796,190.21764,0.8135604
cg24928546,254.15276,cg13284983,174.33421,0.73573726
cg24928546,254.15276,cg20162822,179.38513,0.7113485
cg24928546,254.15276,cg05938526,176.08333,0.75580364
cg04016883,242.30763,cg17881042,201.05893,0.7134951
cg18393044,238.31361,cg10325670,191.7107,-0.7019133
cg18393044,238.31361,cg20185525,208.21246,0.7295671
cg18393044,238.31361,cg00531182,195.87253,0.7169309
cg18393044,238.31361,cg17274771,207.29799,-0.8241827
cg18393044,238.31361,cg16625610,189.19937,0.7450647
cg23379913,223.47223,cg06376951,172.75905,0.74939764
cg18574725,201.44664,cg01172338,162.18655,0.74544215
