base_probe,base_probe_sum_corr,removed_probe,removed_probe_sum_corr,correlation
cg17575113,499.89386,cg04390341,466.20532,-0.79456997
cg17575113,499.89386,cg15783933,466.2759,0.8133921
cg17575113,499.89386,cg23840610,435.05582,0.7678583
cg17575113,499.89386,cg18306932,393.4633,0.70711243
cg02259802,470.66824,cg14912119,452.64258,0.7359402
cg20375654,449.69067,cg02779758,370.54428,0.7291613
cg20375654,449.69067,cg11617318,244.28969,0.78375804
cg20375654,449.69067,cg09789239,268.17892,0.8565862
cg20375654,449.69067,cg01684175,232.71378,0.7085559
cg20375654,449.69067,cg24300077,223.15802,0.76391023
cg20375654,449.69067,cg19613575,245.00903,0.7876266
cg01871358,410.0202,cg11514965,367.71255,0.7060037
cg14289429,407.8486,cg03970483,354.60275,0.708218
cg26430041,366.44687,cg12288452,329.58267,0.75285524
cg26430041,366.44687,cg00779065,308.20065,-0.7654042
cg23068312,338.63696,cg09890775,308.05722,0.7439661
