base_probe,base_probe_sum_corr,removed_probe,removed_probe_sum_corr,correlation
cg16510440,138.70944,cg14983075,127.62186,0.87452304
cg16510440,138.70944,cg11897052,127.92675,0.89685446
cg16510440,138.70944,cg24443099,113.03038,0.7819653
cg16510440,138.70944,cg13197551,130.72874,0.9271328
cg16510440,138.70944,cg00926318,111.135895,-0.71186554
cg16510440,138.70944,cg06156035,119.61612,0.8072357
cg16510440,138.70944,cg16829297,104.90228,0.74846286
cg16510440,138.70944,cg20874992,102.35071,0.7632066
cg16510440,138.70944,cg01220595,106.04802,0.803863
cg16510440,138.70944,cg01607771,117.16989,0.9084493
cg16510440,138.70944,cg10823707,97.36346,0.74381137
cg16510440,138.70944,cg01309141,107.0626,0.8321164
cg16510440,138.70944,cg20589039,110.532555,0.84385717
cg16510440,138.70944,cg06807621,108.84893,0.8609661
cg16510440,138.70944,cg08682433,103.3185,0.7805668
cg16510440,138.70944,cg20206644,93.66902,0.8033545
cg16510440,138.70944,cg13787670,91.99617,0.7239764
cg16510440,138.70944,cg09029902,102.955574,0.88747054
cg16510440,138.70944,cg06358270,106.19203,0.90478116
cg16510440,138.70944,cg14830485,97.43894,0.8800447
cg16510440,138.70944,cg03901958,96.466736,-0.72299683
cg16510440,138.70944,cg23635275,96.947136,0.89225525
cg21602257,119.52076,cg26688911,81.881996,0.70834726
cg21602257,119.52076,cg04368843,78.674225,0.71784604
cg21602257,119.52076,cg25338109,93.64824,0.714914
cg01661001,118.25614,cg20832181,90.602135,0.7627705
cg01661001,118.25614,cg01523712,89.078674,0.8113449
cg01661001,118.25614,cg08832418,87.840866,0.76578057
cg01661001,118.25614,cg09356524,80.92232,0.7101719
cg01661001,118.25614,cg06621638,78.820404,0.7496941
cg01661001,118.25614,cg01750375,76.54793,-0.73616946
