base_probe,base_probe_sum_corr,removed_probe,removed_probe_sum_corr,correlation
cg09142671,237.90689,cg08205079,217.79031,-0.7000538
cg09142671,237.90689,cg16215975,233.01381,0.89803654
cg09142671,237.90689,cg19496364,219.39444,0.8288751
cg09142671,237.90689,cg04051278,227.38295,0.87218565
cg09142671,237.90689,cg03839875,224.14952,0.85308164
cg09142671,237.90689,cg18513737,200.9335,0.7735386
cg09142671,237.90689,cg20036996,201.21207,0.76811403
cg09142671,237.90689,cg24020235,210.19957,0.837287
cg09142671,237.90689,cg13718275,189.85011,-0.7033749
cg09142671,237.90689,cg14515400,205.23035,0.80673164
cg09142671,237.90689,cg16790374,201.66756,0.8081724
cg09142671,237.90689,cg20577477,206.60129,0.8510762
cg09142671,237.90689,cg10021533,209.26909,0.7557119
cg09142671,237.90689,cg27411509,185.95749,0.7265585
cg09142671,237.90689,cg25354466,190.79613,-0.719106
cg09142671,237.90689,cg08715432,185.51749,0.7256241
cg09142671,237.90689,cg08473660,188.52724,0.7880768
cg09142671,237.90689,cg13247875,187.38577,0.75482
cg09142671,237.90689,cg26141291,175.21779,0.7041765
cg09142671,237.90689,cg25363337,204.37471,0.7501386
cg09142671,237.90689,cg08147921,192.16568,0.8108378
cg09142671,237.90689,cg22268186,167.01599,0.7257946
cg09142671,237.90689,cg26232553,172.93274,0.7346958
cg09142671,237.90689,cg24726538,163.18286,0.72019726
cg09142671,237.90689,cg18318722,179.42802,0.7681682
cg09383624,216.78438,cg17381507,176.87892,0.77586704
cg09383624,216.78438,cg15694987,154.71902,0.80066836
cg09383624,216.78438,cg18341905,172.38483,0.8081637
cg17812212,209.20119,cg01173324,157.09576,0.7000675
cg01531398,204.09769,cg03645644,154.02483,0.7007477
cg01531398,204.09769,cg00186815,159.65732,0.70751756
cg01531398,204.09769,cg00885597,157.53961,0.73624355
cg01531398,204.09769,cg27601906,161.04626,0.7550956
cg01531398,204.09769,cg26426774,157.91301,0.76483595
cg01531398,204.09769,cg07922980,155.29266,0.77109927
cg01531398,204.09769,cg22094781,154.59927,0.7718377
cg01531398,204.09769,cg13389508,159.66682,0.79536986
cg01531398,204.09769,cg01607516,139.0008,0.7721649
cg22122414,178.79758,cg01806965,147.57578,-0.766791
cg22122414,178.79758,cg26859900,131.50166,0.71836966
cg22122414,178.79758,cg14408978,136.60187,-0.7463477
cg22122414,178.79758,cg08545480,150.70482,-0.7122884
cg22122414,178.79758,cg02789234,149.21983,-0.707079
cg24420395,141.98752,cg15054260,95.737,0.70962965
cg14324585,139.12788,cg21904726,96.35883,0.7111899
