base_probe,base_probe_sum_corr,removed_probe,removed_probe_sum_corr,correlation
cg16305018,89.31063,cg10648251,80.00897,0.72717744
cg16305018,89.31063,cg10747078,80.91461,0.7891589
cg16305018,89.31063,cg12298745,76.41281,-0.7658208
cg16305018,89.31063,cg10027236,78.71972,0.741758
cg16305018,89.31063,cg15297642,74.70315,-0.7824434
cg16305018,89.31063,cg27105619,79.72398,0.8485632
cg16305018,89.31063,cg21210616,70.10819,0.7917489
cg16305018,89.31063,cg07387627,72.16309,0.7637638
cg16305018,89.31063,cg01399554,68.79327,0.7637485
cg16305018,89.31063,cg26306636,66.9937,-0.7415551
cg16305018,89.31063,cg21040686,72.9087,0.84091574
cg16305018,89.31063,cg20404260,65.2152,0.78071654
cg16305018,89.31063,cg14843013,70.08063,0.915765
cg16305018,89.31063,cg20201515,67.79444,0.89408517
cg16305018,89.31063,cg03988131,66.807365,0.89666367
cg16305018,89.31063,cg08828848,61.212955,0.858044
cg16305018,89.31063,cg22183077,54.893917,0.8084692
cg04310491,75.83362,cg25315613,59.565147,0.74680626
cg04310491,75.83362,cg24295229,52.831375,0.7434857
