base_probe,base_probe_sum_corr,removed_probe,removed_probe_sum_corr,correlation
cg09789239,108.117805,cg18332814,95.28513,0.749274
cg09789239,108.117805,cg25797865,99.31712,0.7708577
cg09789239,108.117805,cg21884769,102.36296,0.7850356
cg09789239,108.117805,cg17154646,101.42706,0.78709394
cg09789239,108.117805,cg01950449,93.02275,-0.7008857
cg09789239,108.117805,cg16413909,97.29952,0.74474907
cg09789239,108.117805,cg04370314,94.61861,-0.7184493
cg09789239,108.117805,cg18935752,95.03953,0.79828596
cg26182253,101.6763,cg18431477,90.4296,0.8039049
cg26182253,101.6763,cg03097389,76.85179,0.71109325
cg26182253,101.6763,cg02796647,84.21127,0.7546571
cg26182253,101.6763,cg25913457,74.820915,0.78498197
cg26182253,101.6763,cg20981055,83.96593,0.75288606
cg05986831,87.3264,cg18098400,81.23337,-0.82097644
cg03010009,86.40254,cg20223983,70.30069,0.7686499
cg03010009,86.40254,cg02858960,70.03486,0.7187843
