"","PDD38","CTRL61","PDD23","PDD21","PD29","PD5","CTRL88","PD41","PDD39","PD11","PDD26","PDD25","PD1","CTRL24","PD55","CTRL15","CTRL63","PDD60","PDD51","PDD43","PD14","PDD5","PD37","CTRL80","PDD74","CTRL62","PD3","CTRL39","CTRL97","PD47","DLB17","DLB2","CTRL35","PD8","CTRL51","CTRL77","CTRL68","PDD24","CTRL19","PDD13","CTRL43","DLB11","PDD58","CTRL42","PDD53","PD40","PDD44","PD6","CTRL1","PD35","PDD41","PDD70","PD59","PDD28","CTRL78","CTRL64","PD48","PD21","CTRL95","CTRL57","PDD30","PDD22","DLB15","PD50","CTRL29","PDD54","PDD27","DLB24","PD23","PD30","PDD15","CTRL50","CTRL93","PDD35","CTRL73","PDD6","CTRL13","PDD73","CTRL81","CTRL33","PDD49","PD27","PDD4","PD58","CTRL85","PD52","PD60","PD61","CTRL11","CTRL40","DLB35","PD9","CTRL79","PDD61","PD56","CTRL55","CTRL37","CTRL82","CTRL32","PD2","PD54","CTRL48","PD49","PDD69","PD45","CTRL12","PD33","PD51","PD13","PDD45","PD20","CTRL83","PDD7","CTRL71","PDD47","PD32","CTRL6","CTRL46","PD17","PDD10","DLB12","CTRL44","CTRL86","DLB27","PD18","CTRL20","PDD50","DLB21","CTRL53","CTRL65","PD38","CTRL18","PDD36","PDD64","PD42","PDD33","PDD65","PD62","PDD77","PDD2","PD25","DLB14","chr"
"cg09863066",0.6713249,0.6794299,0.6707947,0.5974609,0.6236813,0.754919,0.6275428,0.6521085,0.5756308,0.6843785,0.6354159,0.6607393,0.6213804,0.599193,0.6048554,0.6028179,0.6435602,0.6793159,0.5378191,0.6018905,0.7478805,0.6564062,0.618657,0.6392605,0.6601434,0.7029526,0.6912595,0.7246526,0.7633905,0.6631028,0.6753022,0.6420873,0.6386309,0.6472371,0.7033301,0.5759224,0.6415099,0.7347817,0.6347484,0.6598912,0.6488292,0.6543363,0.681403,0.6790918,0.6223005,0.735783,0.6162118,0.578079,0.6115885,0.6752526,0.6351599,0.6573005,0.6613131,0.6935781,0.628466,0.6642255,0.6495675,0.6716001,0.7215525,0.6648166,0.6323548,0.6193998,0.6599664,0.6774089,0.5322845,0.6694656,0.6417904,0.6346054,0.7178855,0.7024601,0.6016805,0.647156,0.7190997,0.6003015,0.6152293,0.6367725,0.5992543,0.6755423,0.6732439,0.653837,0.5787245,0.6559578,0.6789081,0.6146961,0.6197099,0.5641861,0.6736945,0.6561252,0.6293569,0.6827617,0.6365364,0.6453764,0.6514183,0.736766,0.6546927,0.6894578,0.6428845,0.7475158,0.629986,0.7109178,0.6095092,0.6228079,0.6060022,0.6341092,0.6595245,0.5951194,0.5488786,0.6474142,0.6351376,0.6367511,0.6161,0.634209,0.6629245,0.7112963,0.6520284,0.651304,0.6177935,0.6247693,0.6859627,0.6153881,0.6415231,0.6677386,0.6409807,0.5876204,0.6527392,0.6111358,0.6031041,0.6353823,0.5967918,0.6824258,0.6823103,0.597873,0.6756046,0.6785906,0.5784375,0.6003932,0.6643243,0.6094392,0.6947403,0.6829613,0.6366699,0.6687502,"chr22"
"cg24942297",0.9539944,0.9754431,0.9572536,0.9417144,0.9667854,0.9211424,0.9580505,0.9566412,0.9477143,0.9762639,0.9632312,0.9694115,0.9701849,0.9721343,0.965986,0.992801,0.9189443,0.9623039,0.9818471,0.9781626,0.967027,0.9422486,0.9432308,0.9335356,0.9870966,0.9622094,0.8938297,0.9425002,0.9661944,0.9652539,0.9273256,0.8089354,0.9638992,0.9311215,0.9773222,0.9536508,0.910972,0.9543407,0.9718906,0.9620801,0.9477726,0.9112884,0.9657003,0.9707296,0.9655521,0.9743124,0.957187,0.9479017,0.929389,0.9711068,0.9608321,0.9574795,0.9586299,0.9673577,0.9327828,0.9452125,0.933197,0.9729502,0.9657581,0.9714535,0.956912,0.9262315,0.9620244,0.9558344,0.9418312,0.9595781,0.9535029,0.9548958,0.9445644,0.9588252,0.9277159,0.9638825,0.9451803,0.9503449,0.9661662,0.9461874,0.9649138,0.9383661,0.967555,0.9683516,0.9433265,0.966262,0.93421,0.9650573,0.964297,0.9591274,0.9191337,0.963177,0.9699339,0.9526577,0.9639522,0.956378,0.8992609,0.9410759,0.9677072,0.9489952,0.9589014,0.9255959,0.9147943,0.9291783,0.9860203,0.9416698,0.9660649,0.9685529,0.9414534,0.9381287,0.9506052,0.9670133,0.9317043,0.9528549,0.9644109,0.9235254,0.9382077,0.9482649,0.9645542,0.9842204,0.9393281,0.9643599,0.9343671,0.924108,0.9575046,0.9772719,0.9726259,0.9384071,0.9570908,0.9712422,0.9727241,0.962916,0.9742193,0.9633945,0.9638062,0.9798092,0.9426414,0.9454039,0.9363338,0.9585122,0.9736368,0.9780391,0.9637489,0.9344611,0.9174322,0.9802009,"chr22"
"cg16617564",0.9162843,0.8478596,0.851038,0.8842582,0.824745,0.8313964,0.8667795,0.8715233,0.889835,0.8952803,0.8768634,0.88372,0.9211354,0.8773564,0.8938361,0.859595,0.8065967,0.8398464,0.821642,0.8461901,0.931068,0.8379743,0.8729828,0.8288926,0.7847403,0.8717112,0.850842,0.8461659,0.8685598,0.8228226,0.8459124,0.8549252,0.8200344,0.8988181,0.7995695,0.8473206,0.836494,0.8703141,0.8519032,0.8202233,0.8022798,0.8789137,0.9134755,0.8755918,0.8567534,0.8637133,0.8791745,0.8139501,0.861138,0.8602459,0.8878807,0.8917927,0.8848579,0.8165794,0.7329609,0.7752261,0.841783,0.9059971,0.8995971,0.8556823,0.8733696,0.8575534,0.8558199,0.8933898,0.7991405,0.8618626,0.8110719,0.8188913,0.870826,0.8657842,0.9253242,0.8845412,0.7832639,0.8506986,0.8807438,0.8498198,0.8461289,0.868393,0.8206317,0.8292784,0.8368213,0.8370107,0.8698346,0.873988,0.9034904,0.8471948,0.8668813,0.8496433,0.8300284,0.8829655,0.9077843,0.823818,0.8927176,0.8837117,0.8753597,0.8741443,0.8452333,0.8887355,0.8870893,0.8581508,0.8361728,0.8240198,0.8543962,0.8532606,0.8158964,0.821806,0.8570615,0.8906053,0.8032174,0.8092592,0.9054659,0.7895476,0.8672274,0.8455649,0.8220162,0.8024167,0.8317571,0.8865613,0.8952922,0.8726911,0.8490805,0.931728,0.8844697,0.7653682,0.87951,0.8182499,0.8512033,0.8708907,0.7720065,0.8097399,0.8239945,0.863664,0.8488434,0.853668,0.8490677,0.8190543,0.8480326,0.8162779,0.9042492,0.8258105,0.9060522,0.818855,"chr22"
"cg14596064",0.770177,0.6768415,0.8327672,0.8609499,0.6901837,0.8739377,0.7804064,0.698095,0.7780967,0.7339321,0.7998844,0.8619716,0.8264867,0.6751924,0.8150405,0.7258018,0.8057408,0.653188,0.7682825,0.8279757,0.767169,0.8450843,0.7695495,0.7898105,0.7403999,0.760508,0.7466083,0.7364554,0.7843354,0.727839,0.7196061,0.8527487,0.8323195,0.8592803,0.7487861,0.7439096,0.732041,0.7662195,0.7765868,0.7975447,0.7645429,0.795464,0.7214938,0.788256,0.8160961,0.8160944,0.7838334,0.6759221,0.8249203,0.7928891,0.7917345,0.81163,0.7762505,0.8255215,0.7900603,0.6953348,0.7254284,0.7429152,0.6750783,0.7282369,0.707938,0.8191215,0.7720191,0.7165723,0.6810109,0.8138568,0.8285819,0.8283139,0.7909933,0.7528185,0.8486248,0.722546,0.7834292,0.8231443,0.7187665,0.8407726,0.5494662,0.8628964,0.7434579,0.7030348,0.7060821,0.7748018,0.8049588,0.816358,0.6821572,0.7879021,0.7712195,0.7470358,0.7637234,0.6670037,0.7723517,0.8036946,0.7756855,0.6821591,0.7660106,0.7500178,0.8944842,0.6691324,0.860355,0.8439565,0.6825486,0.7022098,0.6752054,0.7464896,0.7020094,0.7917578,0.8004239,0.7311211,0.8594966,0.8733952,0.8729387,0.6661461,0.8295276,0.7179049,0.6847719,0.6571691,0.8350838,0.7590773,0.851857,0.8087242,0.8163986,0.7638309,0.7966242,0.7507285,0.7822955,0.7686396,0.772775,0.7534642,0.782297,0.7632463,0.7565059,0.7681691,0.8078127,0.6991318,0.8578508,0.8886752,0.7251926,0.792664,0.8109578,0.8201976,0.7959925,0.8007042,"chr22"
"cg09672032",0.9389007,0.959364,0.9415541,0.9380943,0.9084883,0.887533,0.9460488,0.9655212,0.9226345,0.9273384,0.9374997,0.9147483,0.9550765,0.9550254,0.9351536,0.9691497,0.9503671,0.9416441,0.9385544,0.9559147,0.9073037,0.9153802,0.948494,0.8941563,0.9424579,0.9649722,0.8408035,0.9355914,0.9059523,0.9132192,0.9201509,0.8708944,0.9403747,0.922696,0.9686941,0.9229587,0.8931777,0.8751664,0.9256483,0.9253084,0.9577737,0.9465228,0.9248444,0.9192707,0.9410632,0.9518215,0.8917928,0.8593251,0.9052796,0.9570963,0.949147,0.9647565,0.9430244,0.8745821,0.8386442,0.9053508,0.9491872,0.9174693,0.945613,0.9596427,0.8549346,0.9636214,0.9143748,0.8759532,0.9325686,0.9601511,0.9080874,0.9412686,0.9272168,0.925872,0.9361223,0.968445,0.9138074,0.9394011,0.9452071,0.904081,0.9496754,0.9001846,0.925679,0.9546591,0.9597207,0.8721359,0.8649421,0.9232291,0.9702769,0.9749607,0.8998176,0.980489,0.9277369,0.9678268,0.9222026,0.9003306,0.9495834,0.9479292,0.9471748,0.9394566,0.9246155,0.9338333,0.9328805,0.9140305,0.9620969,0.9268195,0.908269,0.9532084,0.9194485,0.9046584,0.9385842,0.9617565,0.9376556,0.9514773,0.9042124,0.9514345,0.9427643,0.9582248,0.9516117,0.9544669,0.8830406,0.9301713,0.9083562,0.9305269,0.9182653,0.949661,0.9620762,0.9509676,0.9201156,0.9119433,0.9583389,0.9465104,0.9598953,0.917302,0.9687963,0.9409746,0.9098869,0.9663227,0.9262154,0.9064726,0.9442361,0.9668202,0.9393322,0.9321164,0.9475205,0.9232845,"chr22"
"cg05940240",0.6782367,0.7733579,0.7316862,0.5070562,0.7328844,0.6305016,0.7882773,0.6969091,0.6041909,0.6128411,0.5648333,0.8397465,0.62941,0.5489185,0.6005597,0.6089247,0.7934379,0.7954923,0.60318,0.5686324,0.7554648,0.7771906,0.705871,0.7051284,0.6684846,0.6828812,0.7379717,0.7550942,0.7579484,0.7493368,0.7394045,0.6156132,0.6909641,0.5930579,0.7384529,0.5969245,0.7575082,0.675018,0.6478926,0.8609309,0.7400584,0.7299744,0.7433106,0.7288909,0.6604491,0.6362132,0.6659482,0.6818182,0.6669261,0.7591784,0.5027293,0.6813916,0.6537073,0.7505046,0.7688453,0.7649399,0.8053047,0.737183,0.7413735,0.6832767,0.6554025,0.6048138,0.687459,0.6643576,0.5102499,0.7092719,0.7773639,0.6746504,0.71219,0.6651134,0.6109796,0.6578014,0.7815447,0.7508244,0.6999483,0.7479408,0.6036008,0.6390057,0.6567435,0.7039994,0.6077076,0.6666449,0.5871092,0.6577915,0.5193605,0.5247287,0.7707945,0.6439408,0.4879862,0.7351572,0.7081989,0.5922696,0.6828781,0.7508588,0.7572236,0.7360925,0.5989121,0.6942547,0.671367,0.6761207,0.6517502,0.5718165,0.7887091,0.7449804,0.7446795,0.6271966,0.6298353,0.7577719,0.6223326,0.6962952,0.6111552,0.7052447,0.6733576,0.6500776,0.6820748,0.6054233,0.5273855,0.7251847,0.6935708,0.619217,0.7430591,0.7704299,0.7513253,0.6058033,0.6071978,0.6215258,0.6368886,0.6301487,0.5982781,0.767217,0.8356091,0.5766291,0.8063623,0.7525429,0.727753,0.67524,0.7735838,0.5182652,0.7673242,0.5690094,0.618563,0.6887442,"chr22"
"cg23668093",0.6697304,0.5584923,0.6590966,0.6881844,0.5617377,0.6657269,0.5965245,0.6318485,0.6003406,0.683484,0.7012691,0.533107,0.6233277,0.6379922,0.6102091,0.5177006,0.6205317,0.5435659,0.5234314,0.688618,0.598505,0.5348742,0.5905676,0.6167849,0.5971327,0.5563461,0.5959683,0.5824815,0.6396092,0.52969,0.6619246,0.6232754,0.6468485,0.7020169,0.543155,0.592954,0.5263251,0.7075256,0.6370209,0.5188867,0.5913709,0.6151667,0.6524404,0.5684782,0.6827975,0.6315201,0.6183053,0.6348417,0.5950096,0.6148215,0.6116122,0.6638042,0.6409936,0.5260377,0.4845168,0.527439,0.5375443,0.6084608,0.6012432,0.6104156,0.6693086,0.6655921,0.5584741,0.6153264,0.611522,0.6200005,0.7159404,0.6361046,0.6192753,0.6483512,0.6140168,0.5714802,0.5590671,0.5037534,0.5979552,0.5626708,0.5046151,0.684243,0.5577726,0.5868029,0.6434088,0.5692434,0.6872024,0.6119728,0.6149155,0.6613664,0.5744073,0.57018,0.635418,0.6254723,0.6167715,0.5929345,0.5945914,0.5997174,0.6261356,0.5568666,0.7100003,0.6243773,0.706679,0.6516607,0.5697255,0.4992208,0.5379643,0.5102898,0.6031689,0.6638365,0.6246269,0.5811171,0.7006936,0.6433651,0.6448468,0.5659868,0.6802162,0.5579222,0.5606518,0.5426693,0.6303437,0.5802866,0.6682302,0.7092784,0.5878075,0.5086478,0.5855606,0.5560008,0.6022677,0.6182674,0.5923901,0.5648161,0.5731132,0.5362324,0.5792484,0.6709667,0.5100915,0.5941743,0.6523818,0.7199901,0.5611509,0.5896703,0.6412609,0.7243327,0.7002854,0.6066092,"chr22"
"cg10266533",0.5887482,0.5646873,0.6285876,0.6481289,0.5686733,0.6526415,0.6458419,0.6168482,0.4825236,0.6136137,0.5496391,0.6349099,0.5660743,0.5269504,0.5205012,0.5333374,0.6084691,0.6010119,0.4625781,0.5481364,0.5750847,0.6491312,0.6037385,0.6465789,0.450496,0.6108755,0.6053474,0.6396671,0.6399279,0.5358213,0.591181,0.6242449,0.6234654,0.6494212,0.6180641,0.5023327,0.5422547,0.7350886,0.6109132,0.5908905,0.6135684,0.6254819,0.6091194,0.6487393,0.6377725,0.6359031,0.5496296,0.6414176,0.6116155,0.638024,0.5068973,0.6180091,0.5777811,0.6547954,0.6346806,0.6494867,0.5840727,0.6054867,0.6279346,0.6242195,0.5556783,0.6177229,0.5269376,0.5882507,0.4870268,0.5907049,0.5640159,0.566865,0.6403523,0.6406666,0.6475409,0.609154,0.5912091,0.5026647,0.5663745,0.6067579,0.5640296,0.6618591,0.6051241,0.5916452,0.5449947,0.60789,0.6074077,0.6022237,0.5781377,0.5858242,0.6357954,0.5611342,0.5958251,0.646539,0.5831452,0.5440358,0.5462345,0.5712525,0.6031789,0.6269313,0.6184177,0.5827784,0.6272553,0.6633002,0.5795541,0.5523881,0.592058,0.6323108,0.5770255,0.5820746,0.5482537,0.6427884,0.6231967,0.6045442,0.5734041,0.5616763,0.6927868,0.6226461,0.5540107,0.5616933,0.5381947,0.5640589,0.6386582,0.5790291,0.6514825,0.5915249,0.5671996,0.4988986,0.5612589,0.6200106,0.5539164,0.5342773,0.5568528,0.5479962,0.6191255,0.5462539,0.6330381,0.6281954,0.5992975,0.6151309,0.5846342,0.5224145,0.6383473,0.6731783,0.5802812,0.603489,"chr22"
"cg27662611",0.01838205,0.03332889,0.01100731,0.01666298,0.01211165,0.03587082,0.04951151,0.0113321,0.02740155,0.02580759,0.01553361,0.02646854,0.02498355,0.02577895,0.01542681,0.03207199,0.01976731,0.03235869,0.01174791,0.01323659,0.03740298,0.03343708,0.03614801,0.03568661,0.02415771,0.02518736,0.04567624,0.05239347,0.03685691,0.02640632,0.02761306,0.02667327,0.02545854,0.02948612,0.02089753,0.01570869,0.02344052,0.01925576,0.02796966,0.0401362,0.0238986,0.0181924,0.02939127,0.0329201,0.01186702,0.03463662,0.01626725,0.0269601,0.02361759,0.03320521,0.02536072,0.06527559,0.02890706,0.01686796,0.02279815,0.02533483,0.05275187,0.01636565,0.02766527,0.01987874,0.02690932,0.019107,0.02097025,0.02883056,0.01947905,0.03382788,0.03702263,0.01833143,0.04446181,0.05383128,0.02775205,0.02120665,0.02975769,0.01320332,0.02926256,0.02539532,0.0283531,0.03322759,0.01366161,0.04824414,0.01663574,0.01866262,0.02080979,0.04011396,0.0113908,0.01192667,0.03746518,0.0356565,0.02468015,0.04658207,0.02284818,0.0239899,0.0102639,0.05160986,0.01650736,0.03375141,0.03231198,0.03304541,0.01997513,0.01902033,0.0211046,0.0394348,0.03625852,0.01791282,0.04084645,0.02770747,0.009622476,0.01340162,0.01401488,0.01408597,0.0291586,0.01726896,0.04267985,0.02703231,0.03141348,0.02987464,0.0199971,0.05335142,0.02446219,0.02881177,0.01203971,0.02334755,0.01415046,0.02499682,0.01872658,0.02166348,0.01623979,0.02582056,0.0137233,0.07056341,0.04347457,0.02913188,0.02826406,0.03451723,0.02078872,0.01342107,0.0151478,0.02332028,0.02330401,0.03508157,0.01774323,0.01851584,"chr22"
"cg15020611",0.01018169,0.01526128,0.01233001,0.007306449,0.0287619,0.01837019,0.01183055,0.01456977,0.0288412,0.01547226,0.006783067,0.01280585,0.01732476,0.01080005,0.01882353,0.01986396,0.01747329,0.01425635,0.01861689,0.01983173,0.0155944,0.02329218,0.01405123,0.01317336,0.01554216,0.01143679,0.02508376,0.0160272,0.01698926,0.01663237,0.01392776,0.02244331,0.02135881,0.02261106,0.008521796,0.01103956,0.01679953,0.01577114,0.005700748,0.009169331,0.02092145,4.298487e-05,0.01953561,0.02423246,0.01529446,0.0129822,0.02609552,0.02181431,0.01378661,0.01371473,0.00825717,0.009008492,0.02151595,0.01227621,0.01933948,0.01570594,0.02907888,0.006467487,0.01299309,0.01079698,0.02048743,0.010824,0.01699091,0.01463538,0.0173634,0.01395383,0.01956505,0.02624788,0.01269053,0.0173913,0.01252983,0.008933685,0.01178409,0.01075142,0.0201214,0.01598238,0.01784525,0.01520117,0.0120234,0.0135792,0.01027127,0.008850125,0.02239369,0.006156317,0.01260731,0.02451187,0.01849628,0.02004309,0.02393321,0.01956237,0.0224359,0.02390597,0.02303948,0.0151157,0.009030357,0.02108037,0.02414922,0.02437397,0.01979592,0.01473879,0.00743662,0.02812519,0.02257349,0.0152236,0.01970385,0.01881404,0.026929,0.02124469,0.009243212,0.01405017,0.01467683,0.01763566,0.01243282,0.01050722,0.02151066,0.008755622,0.01143288,0.02593842,0.01604713,0.01376991,0.01028381,0.02283654,0.01099098,0.02223561,0.01549509,0.01462239,0.01892424,0.009610931,0.01021107,0.01550137,0.01257775,0.01254407,0.02017593,4.298487e-05,0.02851635,0.019142,0.008400667,0.007151508,0.01208244,0.01782756,0.0202765,0.01157204,"chr22"
